"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Window","Update Project","Alt+F5","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Terminal view commands","Paste","Shift+Insert","Terminal Widget in Focus"
"View","Zoom Out","Ctrl+-","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"File","Save All","Ctrl+Shift+S","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Widget in Focus"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"File","Properties","Ctrl+Shift+Enter","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Activate Editor","F12","In Windows"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Widget in Focus"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Window","Quick Access","Ctrl+3","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Navigate","Open Declaration","F3","JavaScript View"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Edit","Context Information","Alt+?","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Widget in Focus"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Navigate","Next","Ctrl+.","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Git","Commit...","Ctrl+#","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Window","Quick Access","Alt+Right","Terminal Widget in Focus"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Text Editing","Line End","End","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Run/Debug","Step Return","F7","Debugging"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Window","Maximize Active View or Editor","Alt+Up","Terminal Widget in Focus"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Content Assist","Alt+Enter","In Dialogs and Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"File","Close","Ctrl+W","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"File","New","Ctrl+N","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Context Information","Alt+Shift+?","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"File","Print","Ctrl+P","In Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Text End","Ctrl+End","Editing Text"
